"brand","car","isSell","lowPrice","heightPrice","href","rank","type"
"一汽-大众奥迪","奥迪A3",true,"19.05","19.05","//price.pcauto.com.cn/price/sg9550/","紧凑型车","两厢车,三厢车,"
"一汽-大众奥迪","奥迪A4L",true,"29.00","29.00","//price.pcauto.com.cn/price/sg3524/","中型车","三厢车,"
"一汽-大众奥迪","奥迪A6L",true,"40.28","40.28","//price.pcauto.com.cn/price/sg4313/","中大型车","三厢车,"
"一汽-大众奥迪","奥迪A6L新能源",true,"45.48万","45.48","//price.pcauto.com.cn/price/sg21448/","中大型车","三厢车,"
"一汽-大众奥迪","奥迪Q2L",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg22543/","小型SUV",""
"一汽-大众奥迪","奥迪Q3",true,"24.69","24.69","//price.pcauto.com.cn/price/sg8670/","紧凑型SUV","SUV,"
"一汽-大众奥迪","奥迪Q5",true,"39.64","39.64","//price.pcauto.com.cn/price/sg4457/","中型SUV","SUV,"
"一汽-大众奥迪","奥迪Q5L",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg23054/","中型SUV",""
"奥迪(进口)","奥迪A1",true,"18.98","18.98","//price.pcauto.com.cn/price/sg3746/","小型车","两厢车,"
"奥迪(进口)","奥迪A3(进口)",true,"34.35万","34.35","//price.pcauto.com.cn/price/sg253/","紧凑型车","软顶敞篷车,两厢车,三厢车,"
"奥迪(进口)","奥迪A3新能源",true,"39.98万","39.98","//price.pcauto.com.cn/price/sg21464/","紧凑型车","两厢车,"
"奥迪(进口)","奥迪A4(进口)",true,"39.58","39.58","//price.pcauto.com.cn/price/sg5/","中型车","旅行车,"
"奥迪(进口)","奥迪A5",true,"36.98","36.98","//price.pcauto.com.cn/price/sg4438/","中型车","掀背车,硬顶跑车,软顶敞篷车,"
"奥迪(进口)","奥迪A6(进口)",true,"42.98","42.98","//price.pcauto.com.cn/price/sg6/","中大型车","旅行车,三厢车,"
"奥迪(进口)","奥迪A7",true,"55.60","55.60","//price.pcauto.com.cn/price/sg3776/","中大型车","掀背车,"
"奥迪(进口)","奥迪A8L",true,"87.68","87.68","//price.pcauto.com.cn/price/sg7/","大型车","三厢车,"
"奥迪(进口)","奥迪A8L新能源",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg21467/","大型车","三厢车,"
"奥迪(进口)","奥迪Q3(进口)",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg3975/","紧凑型SUV","SUV,"
"奥迪(进口)","奥迪Q5(进口)",true,"58.80","58.80","//price.pcauto.com.cn/price/sg3605/","中型SUV","SUV,"
"奥迪(进口)","奥迪Q7",true,"69.98","69.98","//price.pcauto.com.cn/price/sg1933/","中大型SUV","SUV,"
"奥迪(进口)","奥迪Q7新能源",true,"87.50万","87.50","//price.pcauto.com.cn/price/sg21733/","中大型SUV","SUV,"
