"brand","mappedBrand","logo"
"奥迪","奥迪","https://media.cform.io/atcp/AUDI.png"
"阿斯顿·马丁","屏蔽屏蔽屏蔽",
"阿尔法·罗密欧","屏蔽屏蔽屏蔽",
"AC Schnitzer","屏蔽屏蔽屏蔽",
"艾康尼克","屏蔽屏蔽屏蔽",
"ALPINA","屏蔽屏蔽屏蔽",
"爱驰","屏蔽屏蔽屏蔽",
"ARCFOX","北汽新能源",
"Arash","屏蔽屏蔽屏蔽",
"本田","本田","https://media.cform.io/atcp/HONDA.png"
"奔驰","奔驰","https://media.cform.io/atcp/MERCEDES_BENZ.png"
"宝马","宝马","https://media.cform.io/atcp/BMW.png"
"别克","别克","https://media.cform.io/atcp/BUICK.png"
"比亚迪","比亚迪","https://media.cform.io/atcp/BYD.png"
"宝骏","宝骏","https://media.cform.io/atcp/BAOJUN.png"
"标致","标致","https://media.cform.io/atcp/PEUGEOT.png"
"保时捷","保时捷","https://media.cform.io/atcp/PORSCHE.png"
"奔腾","奔腾",
"宾利","屏蔽屏蔽屏蔽","https://media.cform.io/atcp/BENTLEY.png"
"北京","北京",
"北汽幻速","北汽幻速","https://media.cform.io/atcp/BAIC_HS.png"
"北汽绅宝","北汽绅宝","https://media.cform.io/atcp/BAIC_SENOVA.png"
"北汽新能源","北汽新能源",
"北汽制造","北汽制造",
"宝沃","宝沃","https://media.cform.io/atcp/BORGWARD.png"
"北汽威旺","北汽威旺","https://media.cform.io/atcp/BAIC_SENOVA.png"
"布加迪","屏蔽屏蔽屏蔽",
"巴博斯","屏蔽屏蔽屏蔽",
"比速汽车","比速汽车",
"BYTON","屏蔽屏蔽屏蔽",
"北汽道达","北汽道达",
"北京清行","北京清行",
"长安汽车","长安汽车",
"长安欧尚","长安欧尚",
"长城","长城","https://media.cform.io/atcp/GREAT_WALL.png"
"昌河","昌河","https://media.cform.io/atcp/CHANGHE.png"
"长安轻型车","长安轻型车",
"长安跨越","长安跨越",
"成功","屏蔽屏蔽屏蔽",
"刺猬汽车","屏蔽屏蔽屏蔽",
"长江EV","长江EV",
"CUPRA","屏蔽屏蔽屏蔽",
"昶洧","屏蔽屏蔽屏蔽",
"大众","大众","https://media.cform.io/atcp/VOLKSWAGON.png"
"东风风行","东风风行",
"东风启辰","东风启辰",
"东风风光","东风风光",
"东风风神","东风风神",
"东南","东南","https://media.cform.io/atcp/SOUEAST.png"
"东风","东风","https://media.cform.io/atcp/DONGFENG.png"
"DS","DS",
"东风小康","东风小康",
"道奇","道奇",
"大乘汽车","大乘汽车",
"东风风度","东风风度",
"电咖","电咖","https://media.cform.io/atcp/DEARCC.png"
"大发","屏蔽屏蔽屏蔽",
"大迪","屏蔽屏蔽屏蔽",
"东风瑞泰特","屏蔽屏蔽屏蔽",
"东风风诺","东风风诺",
"Dacia","屏蔽屏蔽屏蔽",
"丰田","丰田","https://media.cform.io/atcp/TOYOTA.png"
"福特","福特","https://media.cform.io/atcp/FORD.png"
"法拉利","法拉利",
"福田","福田","https://media.cform.io/atcp/FORD.png"
"菲亚特","菲亚特","https://media.cform.io/atcp/FIAT.png"
"福迪","福迪",
"Faraday Future","屏蔽屏蔽屏蔽",
"Fisker","屏蔽屏蔽屏蔽",
"福汽启腾","福汽启腾",
"FM Auto","屏蔽屏蔽屏蔽",
"广汽传祺","广汽传祺","https://media.cform.io/atcp/GAC_TRUMPCHI.png"
"观致","观致","https://media.cform.io/atcp/QOROS.png"
"广汽集团","广汽集团",
"广汽新能源","广汽新能源",
"GMC","GMC","https://media.cform.io/atcp/GMC.png"
"广汽吉奥","广汽吉奥","https://media.cform.io/atcp/GAC_GONOW.png"
"光冈","屏蔽屏蔽屏蔽",
"国金汽车","国金汽车",
"哈弗","哈弗","https://media.cform.io/atcp/HAVAL.png"
"红旗","红旗",
"海马","海马","https://media.cform.io/atcp/HAIMA.png"
"汉腾","汉腾","https://media.cform.io/atcp/HANTENG.png"
"海马郑州","海马郑州",
"悍马","悍马",
"黄海","黄海",
"华泰","华泰","https://media.cform.io/atcp/HAWTAI.png"
"哈飞","哈飞",
"海马新能源","海马新能源",
"华泰新能源","华泰新能源",
"合众新能源","屏蔽屏蔽屏蔽",
"华颂","华颂","https://media.cform.io/atcp/HUASONG.png"
"海格","屏蔽屏蔽屏蔽",
"华普","屏蔽屏蔽屏蔽",
"红星","屏蔽屏蔽屏蔽",
"恒天","屏蔽屏蔽屏蔽",
"合众汽车","屏蔽屏蔽屏蔽",
